Issue ID,Issue Type,Summary,Priority,Story Points,Description,Definition of Done
LMENU-EPIC-01,Epic,Menu UI — Wooden Signposts (Cities → Landmarks),P0,21,Реализовать зафиксированный UI-spec меню без изменения текущей механики бизнес-логики.,Epic создан и связан со всеми задачами LMENU-01..11
LMENU-01,Story,Menu container & base layout,P0,3,"Фиксированный контейнер (680/620/560), внутренняя прокрутка, отсутствие внешнего layout shift.",При раскрытии городов внешние секции страницы не меняют позицию
LMENU-02,Story,City signpost geometry,P0,3,"Размеры табличек городов, базовая геометрия, точка вращения у гвоздя/болта.",Город-таблички соответствуют размерам и корректно вращаются вокруг точки крепления
LMENU-03,Story,Landmark signpost geometry,P1,2,"Вторичные таблички достопримечательностей: меньшие размеры, иной тон, меньшая визуальная масса.",Второй уровень визуально читается как подчинённый уровню города
LMENU-04,Story,Angle rhythm system,P0,3,"Диапазоны 3–5°, 7–10°, 12–15°; не более двух больших наклонов подряд.",При любом наборе городов сохраняется управляемый ритм без хаоса
LMENU-05,Story,Text handling & long labels,P0,2,"Перенос строк, динамическая высота до max-height, внутренний скролл при переполнении.",Длинные названия не выходят за пределы табличек на всех брейкпоинтах
LMENU-06,Story,Desktop hover states,P1,2,"Hover-анимации города и достопримечательности (амплитуды/тени/подсветка по spec).",Эффекты воспроизводятся стабильно и сохраняют иерархию города/достопримечательности
LMENU-07,Story,Click/open-close behavior (single-open),P0,3,"Click-пружина, раскрытие/сворачивание, single-open, тайминги переключения.",Всегда открыт максимум один город; повторный click корректно закрывает текущий
LMENU-08,Story,Accessibility & keyboard,P0,2,"Focus-outline, Enter/Space/Esc, контраст WCAG AA.",Меню полностью управляется клавиатурой; focus видим в каждом интерактивном состоянии
LMENU-09,Story,Reduced motion support,P1,1,"Режим prefers-reduced-motion с отключением sway/spring.",Интерфейс остаётся функциональным; анимации упрощены до мягких opacity-переходов
LMENU-10,Story,Mobile interaction pass,P0,2,"Tap-highlight, повторный tap для закрытия, минимальная зона нажатия 44px.",UX на touch-экранах предсказуем и не зависит от hover
LMENU-11,Story,QA + visual regression checklist,P1,1,"Прогон acceptance-пунктов из раздела 10.7 + фиксация результата в PR.",Все пункты 10.7 выполнены; дефекты закрыты или заведены отдельными задачами
